ID,Stadium Name,City,Country,Straight (m),Square (m),Pitch Type,Surface,Floodlights,Capacity,Operational Status,Special Soil Details & Origin
207,Sportpark Het,Glostrup,Denmark,62,58,Synthetic,Grass,No,500,Operational,Synthetic Matting: Standard Danish mat over concrete.
11,Sportpark Utrecht,Cardiff,UK,75,70,Natural,Grass,Yes,"15,643",Operational,"Oxfordshire Loam: Known for being a ""big"" ground."
209,Sportpark Westvliet,Deventer,Netherlands,70,66,Natural,Grass,No,"1,000",Operational,Dutch Loam: Imported to survive the local climate.
248,St Albans Club,Utrecht,Netherlands,70,66,Natural,Grass,No,"2,000",Operational,Dutch Loam: Primary hub for Central Dutch cricket.
166,St George's College,The Hague,Netherlands,70,66,Natural,Grass,No,"3,000",Operational,Imported UK Loam: High clay content for turf quality.
201,St George's Park,Buenos Aires,Argentina,65,60,Natural,Grass,No,500,Operational,Pampas Clay: Historic club ground in Argentina.
263,St Georges Quilmes,Buenos Aires,Argentina,65,60,Natural,Grass,No,500,Operational,Pampas Clay: Sourced locally; soft soil with low bounce.
78,Stadium Australia,Gqeberha,South Africa,75,70,Natural,Grass,Yes,"19,000",Operational,Eastern Cape Clay: Slower; aids reverse swing.
225,Stars Arena Zemst,Quilmes,Argentina,60,55,Natural,Grass,No,500,Operational,"Local Clay: Historic ground; low, slow bounce."
306,Stubberudmyra Ground,Sydney,Australia,85,75,Drop-in,Grass,Yes,"82,500",Operational,Bulli Clay: Sourced from NSW; multi-sport FIFA venue.
272,SuperSport Park,Zemst,Belgium,62,58,Synthetic,Grass,No,300,Operational,Synthetic Matting: Home for domestic Belgian T10s.
283,Svanholm Park,Oslo,Norway,65,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Durable for Nordic international play.
40,Sydney Cricket Ground,Centurion,South Africa,75,70,Natural,Grass,Yes,"22,000",Operational,Highveld Clay: Sourced locally; famously fast pitch.
130,Sydney Showground,Brondby,Denmark,68,64,Natural,Grass,No,"1,000",Operational,Imported UK Loam: Highest-standard grass square in Denmark.
19,Sylhet Intl. Stadium,Sydney,Australia,80,75,Natural,Grass,Yes,"48,000",Operational,Bulli Clay: Traditionally favors spinners.
338,"TCA Oval, Blantyre",Sydney,Australia,72,68,Drop-in,Grass,Yes,"21,500",Operational,NSW Black Clay: Boutique T20 stadium.
47,Tafawa Balewa Square,Sylhet,Bangladesh,72,68,Natural,Grass,Yes,"18,500",Operational,Tea Garden Soil: Hilly local soil; offers more bounce.
259,Takashinga Sports Club,Blantyre,Malawi,68,64,Natural,Grass,No,"1,500",Operational,Local Red Clay: African highland soil; dry and fast.
223,Ted Summerton Reserve,Lagos,Nigeria,68,64,Natural,Grass,No,"2,000",Operational,Local Red Clay: Nigeria's premier international hub.
285,Terdthai Cricket Ground,Harare,Zimbabwe,68,64,Natural,Grass,No,"1,000",Operational,Local Red Clay: Key hub for community cricket in Harare.
345,Terdthai Ground (B),Moe,Australia,75,70,Natural,Grass,Yes,"10,000",Operational,Victorian Loam: Regional BBL venue for Melbourne Stars.
98,The Rose Bowl,Bangkok,Thailand,68,64,Natural,Grass,No,"3,000",Operational,Central Thai Silt: High moisture retention; slow track.
230,The Village,Bangkok,Thailand,68,64,Natural,Grass,No,"1,000",Operational,Same as ID 98. Secondary venue for Asian qualifiers.
9,Tikkurila Ground,Southampton,UK,75,70,Natural,Grass,Yes,"25,000",Operational,Oxfordshire Loam: Circular ground with equal boundaries.
49,"Titwood, Glasgow",Malahide,Ireland,72,68,Natural,Grass,No,"11,500",Operational,Ongar Loam: Imported; most picturesque ground in Europe.
174,Tolerance Oval,Vantaa,Finland,65,60,Natural,Grass,No,"1,000",Operational,Imported UK Loam: Necessary for turf in Nordic climates.
273,Tony Ireland Stadium,Glasgow,Scotland,70,65,Natural,Grass,No,"2,000",Operational,Banbury Loam: Imported from UK; historic Scottish venue.
63,Traeger Park,Abu Dhabi,UAE,70,66,Natural,Grass,Yes,"3,000",Operational,Nandipur Clay: Imported from Pakistan; training hub.
323,Trent Bridge,Townsville,Australia,82,70,Natural,Grass,Yes,"10,000",Operational,Queensland Clay: Rebranded as Riverway Stadium.
343,TU Intl. Ground,Alice Springs,Australia,80,72,Natural,Grass,Yes,"10,000",Operational,"Arid Zone Clay: Hard, dry soil; high bounce."
296,UKM-YSD Oval,Nottingham,UK,70,65,Natural,Grass,Yes,"17,500",Operational,Oxfordshire Loam: Known for world-record scores.
119,Udayana Ground,Kirtipur,Nepal,70,66,Natural,Grass,No,"20,000",Operational,Kathmandu Valley Clay: High altitude mountain soil.
177,United Cricket Club,Bangi,Malaysia,68,64,Natural,Grass,Yes,"1,000",Operational,Selangor Alluvial Clay: Humid and slow conditions.
226,University Oval,Bali,Indonesia,65,60,Natural,Grass,No,500,Operational,Local Bali Silt: High organic content; slow and low.
164,Uni of Dar-es-Salaam,Windhoek,Namibia,72,68,Natural,Grass,No,"1,000",Operational,Khomas Clay: Sourced locally; very dry surface.
182,Uni of Doha (UDST),Dunedin,New Zealand,75,70,Natural,Grass,No,"6,000",Operational,Otago Loam: Traditionally seam-friendly.
252,Uni of Lagos Oval,Dar-es-Salaam,Tanzania,65,60,Natural,Grass,No,500,Operational,Coastal Clay: Locally sourced; sandy and slow.
231,Uni of Tasmania Stdm,Doha,Qatar,68,64,Natural,Grass,Yes,"1,500",Operational,Imported Nandipur Clay: Pakistani soil for desert play.
155,VRA Ground,Lagos,Nigeria,62,58,Natural,Grass,No,"1,000",Operational,Ogun River Clay: Sourced locally; favors spin.
352,Vassil Levski Academy,Launceston,Australia,85,70,Drop-in,Grass,Yes,"19,000",Operational,Northern Tas Loam: AFL-sized boutique venue.
53,Velden Ground,Amstelveen,Netherlands,72,68,Natural,Grass,No,"4,500",Operational,Ongar Loam: Imported from UK; helps with drainage.
280,"VCA Stadium, Jamtha",Sofia,Bulgaria,65,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Durable for Balkan climates.
271,Wanderers Ground,Latschach,Austria,65,62,Natural,Grass,No,"1,000",Operational,Imported UK Loam: Sourced for European tournament play.
14,Wankhede Stadium,Nagpur,India,80,75,Natural,Grass,Yes,"45,000",Operational,"Vidarbha Black Soil: Known for being a ""true"" pitch."
118,Warner Park,Windhoek,Namibia,72,68,Natural,Grass,No,"2,000",Operational,Khomas Clay: Very hard and dry surface.
44,West End Park Intl.,Mumbai,India,68,65,Natural,Grass,Yes,"33,108",Operational,Thane Red Soil: High bounce and coastal swing.
170,WACA Ground,Basseterre,St Kitts,65,60,Natural,Grass,Yes,"8,000",Operational,Volcanic Soil: Road-like pitches; high-scoring.
156,White Hill Field,Doha,Qatar,72,68,Natural,Grass,Yes,"13,000",Operational,Imported Pakistan Clay: Mimics subcontinent conditions.
291,Willowmoore Park,Perth,Australia,75,70,Natural,Grass,Yes,"20,000",Operational,Harvey WA Clay: Historically the fastest in the world.
88,Windsor Park,Sandys Parish,Bermuda,68,64,Natural,Grass,No,"1,000",Operational,Bermuda Red Clay: Porous soil; quick drying.
192,YSD-UKM Oval,Benoni,South Africa,72,68,Natural,Grass,Yes,"20,000",Operational,East Rand Clay: Seam-friendly green-top venue.
168,Yeonhui Cricket Ground,Roseau,Dominica,72,68,Natural,Grass,Yes,"12,000",Operational,Volcanic Silt: Black soil; favors spin late game.
250,Zahur Ahmed Chowdhury,Bangi,Malaysia,68,64,Natural,Grass,Yes,"1,000",Operational,Selangor Clay: Humid and slow conditions.
253,Zayed Cricket Stadium,Incheon,South Korea,68,64,Natural,Grass,No,"2,500",Operational,Imported NSW Clay: Australia soil for high standards.
87,Zhejiang University,Chattogram,Bangladesh,70,66,Natural,Grass,Yes,"22,000",Operational,Local Silt: Flat batting track.
135,,Abu Dhabi,UAE,74,70,Natural,Grass,Yes,"20,000",Operational,Nandipur Clay: Imported from Pakistan.
221,,Hangzhou,China,68,64,Natural,Grass,No,"3,000",Operational,Imported NSW Clay: Australia soil for Asian Games legacy.
